Name,CR,XP,Race,Class1,Class1_Lvl,Class2,Class2_Lvl,Alignment,Size,Type,subtype1,subtype2,subtype3,subtype4,subtype5,subtype6,AC,AC_Touch,AC_Flat-footed,HP,HD,Fort,Ref,Will,Melee,Ranged,Space,Reach,Str,Dex,Con,Int,Wis,Cha,Feats,Skills,RacialMods,Languages,SQ,Environment,Organization,Treasure,Group,Gear,OtherGear,CharacterFlag,CompanionFlag,Speed,Base_Speed,Fly_Speed,Maneuverability,Climb_Speed,Swim_Speed,Burrow_Speed,Speed_Special,Speed_Land,Fly,Climb,Burrow,Swim,VariantParent,ClassArchetypes,CompanionFamiliarLink,AlternateNameForm,id,UniqueMonster,MR,Mythic,MT,Source
Ngoga,7,"3,200",,,,,,N,Large,magical beast,,,,,,,20,14,15,85,9d10+36,10,11,6,"bite +14 (1d8+6), 2 claws +14 (1d6+6)",,10,10,23,20,18,2,13,9,"Improved Bull Rush, Improved Initiative, Improved Iron Will, Iron Will, Rending Claws*","Climb +20, Perception +7, Stealth +7",,,,warm jungles,"solitary, pair, or band (3-5)",none,,,,0,0,"40 ft., climb 40 ft.",40,,,,,,,1,0,1,0,0,,,NULL,,3087,0,0,0,0,Lost Kingdoms
Night Adder Inphidian,5,"1,600",,,,,,NE,Medium,monstrous humanoid,reptilian,,,,,,16,12,14,45,6d10+12,6,7,7,2 snake-hand bites +8 (1d4+1 plus poison),,5,5,12,15,15,13,14,14,"Great Fortitude, Improved Initiative, Weapon Finesse","Craft (alchemy) +10, Knowledge (nature) +7, Knowledge (any one) +7, Perception +15, Stealth +15 (+19 in shadow)","+4 Perception, +4 Stealth (+8 in areas of shadow)","Aklo, Common, Inphidian",,warm forests and plains or underground,solitary or troupe (1 night adder plus 2 cobrabacks and 1d6 common inphidians),standard,Inphidian,,,1,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,2694,0,0,0,0,Tome of Horrors Complete
Night Hag,9,"6,400",,,,,,NE,Medium,outsider,evil,extraplanar,,,,,25,14,21,92,8d10+48,14,8,11,"2 claws +13 (1d4+5), bite +13 (2d6+5 plus disease)",,5,5,21,19,22,18,16,17,"Alertness, Combat Casting, Deceitful, Mounted Combat","Bluff +16, Diplomacy +11, Disguise +16, Intimidate +14, Knowledge (arcana) +12, Knowledge (planes) +15, Perception +16, Ride +15, Sense Motive +16, Spellcraft +15",,"Abyssal, Celestial, Common, Infernal","change shape (any humanoid, alter self ), heartstone",any evil-aligned plane,"solitary, mounted (1 and 1 nightmare), or coven (3 hags of any type)",standard,hag,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,279,0,0,0,0,PFRPG Bestiary
Night Scale Assassins,5,"1,600",Female half-elf,rogue,5,assassin,1,NE,Medium,humanoid,elf,human,,,,,17,13,14,34,6 HD; 6d8+6,2,7,1,short sword +4 (1d6+1/19-20) or dagger +4 (1d4+1/19-20),+1 hand crossbow +8 (1d4+1/19-20) or dagger +6 (1d4+2/19-20),5,5,13,16,12,14,10,10,"Point-Blank Shot, Rapid Reload (hand crossbow), Skill Focus (Stealth)B, Weapon Focus (hand crossbow)","Acrobatics +12, Bluff +9, Climb +10, Disable Device +12, Disguise +9, Escape Artist +12, Intimidate +8, Perception +11, Sleight of Hand +12, Stealth +15",+2 Perception,"Common, Elven","elf blood, poison use, rogue talents (bleeding attack +3, lasting poison*), trapfinding +2",any urban,solitary,"NPC gear (+1 studded leather, +1 hand crossbow, daggers (5), short sword, potion of cure moderate wounds, potions of invisibility [2], shadow essence, other treasure)",Magnimar,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,3191,0,0,0,0,Magnimar City Of Monuments
Nightcrawler,18,"153,600",,,,,,CE,Gargantuan,undead,extraplanar,nightshade,,,,,33,6,33,312,25d8+200,16,10,23,"bite +32 (4d10+18/19-20 plus 4d6 cold and grab), sting +32 (4d6+18/19-20 plus 4d6 cold and poison)",,20,20,41,10,-,20,21,23,"Combat Expertise, Command Undead, Critical Focus, Greater Vital Strike, Improved Critical (bite), Improved Critical (sting), Improved Initiative, Improved Vital Strike, Iron Will, Power Attack, Quicken Spell-Like Ability (cone of cold), Staggering Critical, Vital Strike","Intimidate +34, Knowledge (arcana) +33, Knowledge (planes) +30, Knowledge (religion) +33, Perception +33, Sense Motive +33, Spellcraft +33, Stealth +16 (+24 in darkness), Swim +40",+8 Stealth in dim light and darkness,"Abyssal, Common, Infernal; telepathy 100 ft.",,any (Negative Energy Plane),solitary or pair,standard,Nightshade,,,0,0,"30 ft., burrow 60 ft.",30,,,,,60,,1,0,0,1,0,,,NULL,,1305,0,0,0,0,PFRPG Bestiary 2
Nightgaunt,4,"1,200",,,,,,CN,Medium,monstrous humanoid,extraplanar,,,,,,18,13,15,37,5d10+10,3,8,6,2 claws +9 (1d6+4 plus grab),,5,5,18,15,14,5,14,11,"Dodge, Improved Initiative, Lightning Reflexes","Fly +7, Perception +6, Stealth +11",+4 Stealth,Aklo (can't speak),no breath,any mountains (Dimension of Dreams),"single, pair, flight (3-12), or colony",none,,,,0,0,"30 ft., fly 40 ft. (average)",30,40,average,,,,,1,1,0,0,0,NULL,,NULL,,5312,0,0,0,0,PFRPG Bestiary 4
Nightmare,5,"1,600",,,,,,NE,Large,outsider,evil,extraplanar,,,,,19,11,17,51,6d10+18,8,7,3,"bite +9 (1d4+4), 2 hooves +4 (1d6+2 plus 1d4 fire)",,10,5,18,15,16,13,13,12,"Alertness, Improved Initiative, Run","Fly +13, Intimidate +10, Knowledge (planes) +10, Perception +12, Sense Motive +12, Stealth +7, Survival +10",,"Abyssal, Infernal",,any (Abaddon),solitary,none,,,,0,0,"40 ft., fly 90 ft. (good)",40,90,,,,,,1,1,0,0,0,,,NULL,,280,0,0,0,0,PFRPG Bestiary
Nightmare Ettercap,4,"1,200",,,,,,NE,Medium,aberration,,,,,,,17,15,12,30,4d8+12,6,6,6,"bite +5 (1d6+2 plus poison), 2 claws +5 (1d4+2)",,5,5,14,21,17,8,15,12,"Great Fortitude, Improved Initiative","Climb +14, Craft (trapmaking) +11, Fly +13, Intimidate +5, Perception +9, Stealth +15","+8 Craft (trapmaking), +4 Intimidate, +4 Stealth",Common,"feign death (DC 13), spider empathy +7",temperate forests,"solitary, pair, or nests (3-6 plus 2-6 giant spiders)",standard,Nightmare Creature,,,0,0,"30 ft., climb 30 ft., fly 10 ft. (perfect)",30,10,perfect,30,,,,1,1,1,0,0,,,NULL,,5313,0,0,0,0,PFRPG Bestiary 4
Nightripper,24,"1,228,800",,,,,,CE,Medium,outsider,chaotic,demon,evil,extraplanar,,,42,25,31,526,27d10+378,27,30,25,"+5 vorpal bastard sword +43/+38/+33/+28 (1d10+18/17-20), claw +31 (2d6+4/19-20 plus 2d6 bleed), 2 talons +31 (1d6+4/19-20 plus 2d6 bleed)",,5,5 (15 with talons),29,32,39,18,23,24,"Combat Expertise, Combat Reflexes, Dazzling Display, Deadly Stroke, Exotic Weapon Proficiency (bastard sword)B, Greater Feint, Greater Weapon Focus (bastard sword)B, Greater Weapon Specialization (bastard sword)B, Improved Critical (bastard sword), Improved Critical (claw), Improved Critical (talon), Improved Disarm, Improved Feint, Power Attack, Quick Draw, Quicken Spell-Like Ability (blade barrier), Shatter Defenses, Weapon Focus (bastard sword)B, Weapon Specialization (bastard sword)B","Acrobatics +41, Intimidate +37, Knowledge (history) +31, Knowledge (local) +31, Knowledge (religion) +31, Knowledge (nobility) +34, Perception +36, Sense Motive +36, Stealth +41, Use Magic Device +37",,"Abyssal, Celestial, Common, Draconic; telepathy 300 ft.",nascent demon lord traits,any (Kurnugia),solitary,"triple (+5 keen vorpal bastard sword, other treasure)",,,,0,0,60 ft.,60,,,,,,,1,0,0,0,0,,,NULL,,3576,0,0,0,0,Inner Sea Bestiary
Nightskitter,12,"19,200",,,,,,CE,Huge,undead,extraplanar,nightshade,,,,,28,14,22,157,15d8+90,11,14,15,bite +21 (4d8+16/19-20 plus 4d6 cold and poison),,15,15,28,21,-,16,19,19,"Combat Reflexes, Command Undead, Dodge, Improved Critical (bite), Lightning Reflexes, Mobility, Power Attack, Spring Attack","Acrobatics +20, Climb +35, Knowledge (arcana) +21, Knowledge (religion) +21, Perception +22, Spellcraft +21 (+29 in dim light and darkness), Stealth +15",+8 Spellcraft in dim light and darkness,"Abyssal, Common, Infernal; telepathy 100 ft.",,any (Negative Energy Plane),"solitary, pair, or nest (3-8)",standard,Nightshade,,,0,0,"30 ft., climb 30 ft.",30,,,30,,,,1,0,1,0,0,,,NULL,,1721,0,0,0,0,Undead Revisited
Nightwalker,16,"76,800",,,,,,CE,Huge,undead,extraplanar,nightshade,,,,,31,10,29,241,21d8+147,14,11,19,2 claws +28 (3d6+15/19-20 plus 4d6 cold),,15,15,35,14,-,20,21,21,"Combat Expertise, Command Undead, Greater Sunder, Greater Vital Strike, Improved Critical (claws), Improved Disarm, Improved Sunder, Improved Vital Strike, Power Attack, Quicken Spell-Like Ability (unholy blight), Vital Strike","Intimidate +29, Knowledge (arcana) +29, Knowledge (planes) +26, Knowledge (religion) +29, Perception +29, Sense Motive +29, Spellcraft +29, Stealth +18 (+26 in darkness), Swim +33",+8 Stealth in dim light and darkness,"Abyssal, Common, Infernal; telepathy 100 ft.",,any (Negative Energy Plane),"solitary, pair, or gang (3-4)",standard,Nightshade,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,,1306,0,0,0,0,PFRPG Bestiary 2
Nightwave,20,"307,200",,,,,,CE,Colossal,undead,aquatic,extraplanar,nightshade,,,,36,5,33,391,29d8+261,18,16,25,"bite +35 (5d10+22/19-20 plus 4d6 cold, energy drain, and grab), tail slap +30 (4d8+12/19-20 plus 4d6 cold)",,30,30,49,16,-,22,21,25,"Combat Reflexes, Command Undead, Critical Focus, Greater Vital Strike, Improved Bull Rush, Improved Critical (bite, tail slap), Improved Initiative, Improved Vital Strike, Iron Will, Lightning Reflexes, Power Attack, Quicken Spell- Like Ability (cone of cold), Staggering Critical, Vital Strike","Fly +31, Intimidate +39, Knowledge (arcana) +38, Knowledge (planes) +35, Knowledge (religion) +38, Perception +37, Sense Motive +37, Spellcraft +38, Stealth +19 (+27 in darkness), Swim +59",+8 Stealth in dim light and darkness,"Abyssal, Common, Infernal; telepathy 100 ft.",,any (Negative Energy Plane),solitary,standard,Nightshade,,,0,0,"fly 60 ft. (good), swim 60 ft.",,60,good,,,,,0,1,0,0,1,,,NULL,,1307,0,0,0,0,PFRPG Bestiary 2
Nightwing,14,"38,400",,,,,,CE,Huge,undead,extraplanar,nightshade,,,,,29,12,25,195,17d8+119,12,11,17,bite +23 (4d10+18/19- 20 plus 4d6 cold and magic drain),,15,15,31,18,-,18,21,21,"Cleave, Combat Reflexes, Command Undead, Great Cleave, Improved Critical (bite), Improved Initiative, Improved Sunder, Power Attack, Snatch","Fly +24, Knowledge (arcana) +24, Knowledge (religion) +24, Perception +25, Sense Motive +25, Spellcraft +24, Stealth +16 (+24 in darkness), Swim +27",+8 Stealth in dim light and darkness,"Abyssal, Common, Infernal; telepathy 100 ft.",,any (Negative Energy Plane),"solitary, pair, or flight (3-6)",standard,Nightshade,,,0,0,"30 ft., fly 60 ft. (good)",30,60,,,,,,1,1,0,0,0,,,NULL,,1308,0,0,0,0,PFRPG Bestiary 2
Nihiloi,11,"12,800",,,,,,CN,Medium,outsider,extraplanar,,,,,,23,18,15,135,10d10+80,11,16,12,"2 claws +13 (2d8+3), 2 slams +13 (1d8+3 plus grab)",,5,20 (with slam),17,24,27,15,20,18,"Agile Maneuvers, Dodge, Improved Initiative, Lightning Reflexes, Mobility","Acrobatics +20 (+24 to jump), Bluff +17, Diplomacy +17 (+21 against Plane of Shadow natives), Escape Artist +20, Fly +24, Knowledge (planes) +15, Perception +18, Stealth +20 (+30 in dim light)","+10 Stealth in areas of dim light, +4 Diplomacy when dealing with other Plane of Shadow natives","Abyssal, Common, Infernal; broadcast",,any (Plane of Shadow),"solitary, cell (2-8), or cabal (9-26)",standard,,,,0,0,"40 ft., fly 60 ft. (good)",40,60,good,,,,,0,0,0,0,0,,,NULL,,481,0,0,0,0,AP 29
Nilbog,1,400,,,,,,NE,Small,humanoid,goblinoid,,,,,,15,12,14,5,1d8+1,3,1,-1,morningstar +1 (1d6),javelin +2 (1d4),5,5,11,13,12,10,9,6,Alertness,"Perception +5, Ride +5, Sense Motive +1, Stealth +9",+4 Stealth,Goblin,,temperate plains and underground,"gang (4-9), band (10-100 plus 100% noncombatants plus 1 3rd-level sergeant per 20 adults and 1 leader of 4th-6th level), warband (10-24 with worg mounts), or tribe (40-400 plus 100% noncombatants plus 1 3rd-level sergeant per 20 adults, 1 or 2 lieutenants of 4th or 5th level, 1 leader of 6th-8th level, 10-24 worgs, and 2-4 dire wolves)",standard,,"studded leather armor, morningstar, 3 javelins",,1,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,2847,0,0,0,0,Tome of Horrors Complete
Niln,5,"1,600",,,,,,NE,Medium,outsider,air,extraplanar,water,,,,15,14,11,55,5d10+10,6,8,4,slam +9 (2d6+1),,5,5,12,19,14,6,13,11,"Improved Initiative, Iron Will, Weapon Finesse","Fly +12, Knowledge (planes) +6, Perception +13, Stealth +12",,Niln,vapor form,Quasi-Plane of Vapor,solitary or gang (2-4),none,,,,0,0,fly 60 ft. (perfect),,60,,,,,,0,1,0,0,0,,,NULL,Vapor Horror,2848,0,0,0,0,Tome of Horrors Complete
Ningyo,1,400,,,,,,NE,Small,monstrous humanoid,aquatic,,,,,,13,12,12,13,2d10+2,1,4,5,"2 claws +2 (1d3-1), bite +2 (1d4-1)",,5,5,8,13,12,6,15,11,Step Up,"Stealth +10, Swim +12",,Aquan,"amphibious, nocturnal undeath",warm oceans,"solitary, pair, or shoal (3-22)",standard,,,,0,0,"20 ft., swim 40 ft.",20,,,,40,,,1,0,0,0,1,NULL,,NULL,,5314,0,0,0,0,PFRPG Bestiary 4
Nirento,4,"1,200",,,,,,N,Large,plant,,,,,,,17,11,15,42,5d8+20,8,3,0,2 vines +7 (1d6+4 plus grab and trip),,10,15,18,14,19,2,9,11,"Combat Reflexes, Improved Initiative, Weapon Focus (vines)",Perception +7,,,,warm forests or plains,"solitary, pair, or grove (3-5)",incidental,,,,0,0,10 ft.,10,,,,,,,1,0,0,0,0,,,NULL,,2740,0,0,0,0,Isles Of The Shackles
Niserie,7,"3,200",,,,,,CN,Medium,fey,water,,,,,,13,13,10,22,4d6+8,5,6,6,dagger +2 (1d4),,5,5,10,14,14,12,15,18,"DodgeB, Great Fortitude, Improved Initiative","Bluff +11, Diplomacy +11, Knowledge (local) +8, Knowledge (nature) +8, Perception +9, Sense Motive +9, Sleight of Hand +7, Stealth +7 (+15 in water), Swim +8",+8 Stealth in water,"Aquan, Sylvan",amphibious,any aquatic,"solitary, pair, or gang (3-6)","standard (dagger, other treasure)",,,,0,0,"30 ft., swim 40 ft.",30,,,,,,,1,0,0,0,1,NULL,,NULL,,5019,0,0,0,0,Tome of Horrors 4
Nithu,6,"2,400",,,,,,NE,Large,aberration,,,,,,,21,14,16,60,8d8+24,5,7,8,4 tentacles +10 (1d8+3 plus grab),,10,10,16,21,16,11,14,12,"Alertness, Combat Reflexes, Skill Focus (Perception), Weapon Finesse","Fly +16, Intimidate +10, Perception +18, Stealth +10, Survival +11",,Common (cannot speak),,temperate forests or marshes,solitary,incidental,,,,0,0,fly 40 ft. (good),,40,,,,,,0,1,0,0,0,NULL,,NULL,,5020,0,0,0,0,Tome of Horrors 4
Nixie,1,400,,,,,,N,Small,fey,aquatic,,,,,,14,14,11,9,2d6+2,1,6,4,short sword +5 (1d4-2/19-20),light crossbow +5 (1d6/19-20),5,5,7,16,13,12,13,18,Weapon Finesse,"Bluff +9, Craft (any one) +5, Escape Artist +8, Handle Animal +6, Perception +6, Perform (sing) +8, Sense Motive +5, Stealth +12, Swim +10",,"Aquan, Sylvan","amphibious, wild empathy +12",temperate water,"gang (2-4), band (6-11), or tribe (20-80)","standard (light crossbow with 20 bolts, short sword, other treasure)",,,,0,0,"20 ft., swim 30 ft.",20,,,,,,,1,0,0,0,1,,,NULL,,2148,0,0,0,0,PFRPG Bestiary 3
Noble Marid,11,"12,800",,,,,,CN,Large,outsider,extraplanar,water,,,,,23,14,18,133,14d10+56,10,13,11,2 slams +19 (2d6+6) or mwk trident +20/+15/+10 (2d6+9),,10,10,23,19,18,14,15,16,"Combat Casting, Combat Reflexes, Dodge, Great Fortitude, Improved InitiativeB, Improved Natural Attack, Power Attack, Skill Focus (Perform)","Craft (any one) +17, Diplomacy +19, Knowledge (planes) +17, Perception +18, Perform (storytelling) +23, Sense Motive +17, Spellcraft +17, Stealth +15, Swim +29",,"Aquan, Auran, Common, Ignan, Terran; telepathy 100 ft.","change shape (water elemental, humanoid or giant, alter self, elemental body III, or giant form I)",any (Plane of Water),"solitary, pair, company (3-6), or band (7-12)","standard (masterwork trident, other gear)",Genie,,,0,0,"20 ft., swim 60 ft.",20,,,,60,,,1,0,0,0,1,"Genie, Marid",,NULL,,5658,0,0,0,0,d20pfsrd
Noble Steed,4,"1,200",,,,,,N,Large,magical beast,,,,,,,19,13,15,52,5d10+25,9,8,4,"2 hooves +10 (1d6+5), bite +9 (1d4+5)",,10,5,20,18,21,4,17,11,"Endurance, Run B, Skill Focus (Fly), Weapon Focus (hoof)","Fly +17, Perception +10",,Auran (can't speak),,any land,"solitary, mated pair, family (solitary mare plus 1-3 foals), or herd (5-20)",none,,,,0,0,"70 ft., fly 70 ft. (perfect)",70,,perfect,,,,,1,1,0,0,0,NULL,,NULL,,5021,0,0,0,0,Tome of Horrors 4
Noble Time Elemental,14,"38,400",,,,,,N,Large,outsider,elemental,extraplanar,time,,,,25,19,19,190,20d10+80,10,19,18,2 slams +24 (2d6+4),,10,10,18,20,18,18,18,15,"Combat Expertise, Dodge, Flyby Attack, Improved Initiative, Improved Natural Attack (slam), Iron Will, Lightning Reflexes, Power Attack, Skill Focus (Perception), Weapon Finesse","Diplomacy +22, Fly +34, Knowledge (arcana) +27, Knowledge (history) +27, Knowledge (local) +27, Knowledge (planes) +27, Perception +33, Sense Motive +27, Stealth +24, Survival +27",,,time jaunt (Will DC 24) Languages telepathy 100 ft.,Plane of Time,"solitary, troupe (noble plus 1-2 common time elementals), or court (royal plus 1-2 nobles and 1-4 common time elementals)",none,Elemental,,,0,0,fly 20 ft. (perfect),,20,,,,,,0,1,0,0,0,,,NULL,,2572,0,0,0,0,Tome of Horrors Complete
Nocticula,30,"9,830,400",,,,,,CE,Medium,outsider,chaotic,demon,evil,extraplanar,,,48,41,35,774,36d10+576,32,37,35,"2 claws +48 (1d8+12 plus 1d4 Cha drain), 3 stings +48 (2d6+12/19-20 plus poison), 2 hooves +43 (1d4+6 plus 1d6 fire and burn), 2 wings +43 (1d4+6)",Shadowkiss +54/+49/+44/+39 (1d4+20/17-20 plus poison),5,5,34,36,42,35,32,40,"Combat Expertise, Combat Reflexes, Craft Construct, Craft Magic Arms and Armor, Craft Wondrous Item, Critical Focus, Deadly Aim, Flyby Attack, Greater Feint, Improved Critical (hand crossbow), Improved Critical (sting), Improved Feint, Point-Blank Shot, Precise Shot, Quicken Spell-Like Ability (mass suggestion), Rapid Reload (hand crossbow), Rapid Shot, Staggering Critical","Acrobatics +52, Bluff +62, Diplomacy +54, Disguise +51, Fly +56, Intimidate +51, Knowledge (arcana, local, nobility) +48, Knowledge (planes, religion) +51, Perception +58, Perform (dance) +51, Sense Motive +50, Sleight of Hand +49, Spellcraft +48, Stealth +52, Use Magic Device +54","+8 Bluff, +8 Perception","Abyssal, Celestial, Common, Draconic, Undercommon; telepathy 300 ft., tongues","change shape (any humanoid; alter self), swift transformation",any (Abyss),solitary (unique),"triple (Shadowkiss, 100,000 gp in various jewelry, other treasure)",Demon Lord,,,0,0,"60 ft., fly 90 ft. (good)",60,90,good,,,,,1,1,0,0,0,,,NULL,,5425,0,0,0,0,AP 76
Nogitsune,7,"3,200",,,,,,NE,Medium,outsider,kitsune,native,oni,shapechanger,,,21,18,13,80,7d10+42,8,12,8,"bite +14 (1d6+4), 2 claws +14 (1d4+2 plus poison)",mwk dart +15/+10 (1d4+4 plus poison),5,5,18,25,22,17,16,19,"Dodge, Mobility, Spring Attack, Weapon Finesse","Acrobatics +17 (+25 jump), Appraise +5, Bluff +14, Climb +16, Diplomacy +7, Disable Device +16, Disguise +13, Escape Artist +17, Knowledge (arcana) +5, Knowledge (local) +6, Perception +13, Sense Motive +11, Sleight of Hand +10, Stealth +17, Swim +5",,"Common, Draconic, Fey, Giant","change shape (Small or Medium humanoid or animal, alter self or beast shape I), fleet distraction, poison use",any urban,solitary,"double (four masterwork darts, 5 doses of blue whinnis poison, other treasure)",,,,0,0,"50 ft., climb 50 ft.",50,,,50,,,,1,0,1,0,0,,,NULL,,1884,0,0,0,0,AP 50
Noqual Golem,18,"153,600",,,,,,N,Huge,construct,,,,,,,32,10,30,202,25d10+65,8,10,8,2 slams +36 (4d8+19/19-20 plus spell sunder),,15,15,36,15,-,-,11,1,ToughnessB,,,,,any,solitary or pair,none,Golem,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,,3564,0,0,0,0,Inner Sea Bestiary
Normal Spriggan,3,800,,,,,,CE,Small,fey,,,,,,,19,15,15,22,5d6+5,2,8,4,halberd +3 (1d8-1/x3) or short sword +7 (1d4-1/19-20),heavy crossbow +7 (1d8/19-20),5,5,8,18,13,11,11,10,"Combat Reflexes, Weapon Finesse, Weapon Focus (halberd)","Climb +7, Disable Device +9, Perception +10, Sleight of Hand +12, Stealth +16, Survival +5","+2 Climb, +2 Disable Device, +2 Perception, +2 Sleight of Hand, +2 Stealth",Gnome,,any land and underground,solitary or mob (3-12),standard,Spriggan,"chain shirt, halberd, short sword, heavy crossbow, quiver of 20 crossbow bolts SQ size alteration",,1,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,3031,0,0,0,0,Tome of Horrors Complete
Norn,18,"153,600",,,,,,LN,Large,fey,,,,,,,33,21,31,270,20d6+200,18,18,21,"shears +21/+21/+16 (1d8+12/15-20 plus energy drain), touch +11 (energy drain)",,10,10,25,14,30,21,24,31,"Combat Expertise, Combat Reflexes, DiehardB, Great Fortitude, Improved Great Fortitude, Improved Initiative, Improved Iron Will, Improved Lightning Reflexes, Iron Will, Lightning Reflexes, Quicken Spell-Like Ability (phantasmal killer)","Bluff +23, Craft (cloth) +18, Heal +12, Intimidate +30, Knowledge (arcana) +25, Knowledge (dungeoneering) +25, Knowledge (engineering) +25, Knowledge (geography) +25, Knowledge (history) +25, Knowledge (local) +25, Knowledge (nature) +25, Knowledge (nobility) +25, Knowledge (planes) +25, Knowledge (religion) +25, Perception +30, Perform (oratory) +18, Sense Motive +30, Use Magic Device +23",,"Common, Giant, Sylvan; tongues",change shape (humanoid; alter self or giant form II),cold mountains,"solitary, pair, or trio","double (+3 hide armor, shears, golden thread worth 500 gp, other treasure)",,,,0,0,40 ft. (30 ft. with armor),40,,,,,,,1,0,0,0,0,,,NULL,,2149,0,0,0,0,PFRPG Bestiary 3
Northlands Aurochs,7,"3,200",,,,,,N,Huge,animal,,,,,,,20,8,20,105,10d8+50 plus 10,14,7,4,gore +16 (2d8+15),,15,10,30,10,21,2,13,7,"Endurance, Great Fortitude, Toughness, Skill Focus (Perception), Weapon Focus (gore)",Perception +20,,,,Northlands forests and plains,"solitary, pair, or herd (3-12)",none,Aurochs,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,Dire Kine,4736,0,0,0,0,Tome of Horrors 4
Nosferatu,10,"9,600",Male human nosferatu,rogue,9,,,NE,Medium,undead,augmented humanoid,human,,,,,30,18,23,71,9d8+27,7,16,7,2 claws +14 (1d6+3),,5,5,16,24,-,16,16,16,"AlertnessB, Dodge, Improved InitiativeB, Lightning ReflexesB, Mobility, Power Attack, Skill FocusB (Perception), Skill FocusB (Stealth), Spring Attack, Weapon Finesse, Weapon Focus (claw)","Acrobatics +19, Bluff +15, Climb +15, Intimidate +15, Knowledge (dungeoneering) +15, Knowledge (history) +12, Knowledge (local) +15, Knowledge (religion) +12, Perception +28, Sense Motive +13, Stealth +30, Survival +12, Swim +15, Use Magic Device +15","+8 Perception, +8 Sense Motive, +8 Stealth","Aklo, Common; telepathy 60 ft.","rogue talents (bleeding attack +5, fast stealth, stand up, surprise attack), spider climb, swarm form, trapfinding +4",any urban or ruins,solitary,"NPC gear (wand of scorching ray [10 charges], +2 leather armor, belt of incredible dexterity +2, cloak of resistance +1, ring of protection +1, other treasure)",Vampire,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,5381,0,0,0,0,PFRPG Bestiary 4
Nosoi,2,600,,,,,,N,Tiny,outsider,extraplanar,psychopomp,,,,,15,15,12,19,3d10+3,2,6,4,bite +8 (1d3-1),,2/1/2002,0,8,16,12,11,13,16,"Alertness, Weapon Finesse","Fly +17, Knowledge (history) +6, Knowledge (planes) +6, Perception +9, Profession (scribe) +7, Sense Motive +3, Stealth +17",,"Abyssal, Celestial, Infernal","change shape (raven or songbird [same statistics], beast shape II), spirit touch",any (Purgatory),"solitary, pair, or group (3-15)",standard,Psychopomp,,,0,0,"20 ft., fly 50 ft. (good)",20,50,good,,,,,1,1,0,0,0,NULL,,NULL,,5328,0,0,0,0,PFRPG Bestiary 4
Nothosaur,5,"1,600",,,,,,N,Large,animal,,,,,,,18,10,17,57,6d8+30,9,6,4,"bite +10 (1d8+6), tail slap +7 (1d8+3)",,10,10,23,12,18,2,15,7,"Multiattack, Toughness, Weapon Focus (bite)","Perception +11, Swim +14",,,sprint,any water,"solitary, pair, or herd (3-12)",none,,,,0,0,"20 ft., swim 40 ft.",20,,,,,,,1,0,0,0,1,,,NULL,,3332,0,0,0,0,AP 60
Nothosaurus,6,"2,400",,,,,,N,Large,animal,,,,,,,17,11,15,76,9d8+36,12,8,4,bite +12 (2d6+9 plus grab),,10,5,22,15,18,2,12,6,"Great Fortitude, Improved Initiative, Skill Focus (Perception), Swim-By Attack, Weapon Focus (bite)","Perception +13, Stealth +3 (+11 in water), Swim +18",+8 Stealth in water,,"hold breath, speed surge",temperate and warm aquatic,"solitary, pair, or school (3-6)",none,Dinosaur,,,0,0,"10 ft., swim 40 ft.",10,,,,,,,1,0,0,0,1,NULL,,NULL,,4784,0,0,0,0,Tome of Horrors 4
Nuckalavee,9,"6,400",,,,,,CE,Large,aberration,,,,,,,22,11,20,104,11d8+55,8,5,9,"2 hooves +13 (1d6+5, 19-20/x3), bite +11 (1d6+2, 19-20/x3), Huge greataxe +10 (3d6+2, crit x3)",,10,5,21,15,20,8,15,14,"Improved Initiative, Multiattack, Power Attack, Skill Focus (Perception), Weapon Focus (bite), Weapon Focus (hoof)","Intimidate +14, Perception +13, Stealth +13, Survival +13",,"Common, Sylvan",augmented critical,temperate forests,solitary or pack (2-5),standard,,,,0,0,50 ft.,50,,,,,,,1,0,0,0,0,,,NULL,,2849,0,0,0,0,Tome of Horrors Complete
